fase_aluno,turma,ano_nasc,idade,genero,ano_inicio_pm,instituicao_aluno,CG,CF,CT,Nº Av,IAA,IEG,IPS,IDA,mat,por,ing,indicado_por_bolsa,ano_base,Escola,Ativo/ Inativo,risco_defasagem
6,A,2005,17,Menina,2019,Escola Pública,698.0,14.0,14.0,4.0,7.9,6.1,7.5,5.0,8.2,1.5,5.3,Não,2022,,,1
6,A,2005,17,Menino,2022,Escola Pública,821.0,16.0,16.0,4.0,0.0,4.0,8.8,3.7,6.3,1.1,3.8,Sim,2022,,,1
6,A,2006,16,Menina,2021,Escola Pública,270.0,9.0,9.0,4.0,8.8,6.4,7.5,7.5,8.5,4.4,9.7,Não,2022,,,0
6,A,2005,17,Menina,2019,Rede Decisão,9.0,2.0,2.0,4.0,10.0,9.5,9.4,8.0,9.0,5.7,9.3,Não,2022,,,1
6,A,2006,16,Menina,2018,Rede Decisão,370.0,11.0,11.0,4.0,8.8,5.2,8.8,6.1,5.7,3.6,8.9,Não,2022,,,0
6,A,2005,17,Menina,2020,Escola Pública,824.0,17.0,17.0,4.0,0.0,4.6,7.5,4.8,9.0,1.6,3.7,Não,2022,,,1
6,A,2005,17,Menino,2016,Rede Decisão,692.0,13.0,13.0,4.0,9.6,4.8,8.1,3.8,4.7,4.0,2.8,Não,2022,,,1
6,A,2005,17,Menina,2019,Rede Decisão,5.0,1.0,1.0,4.0,10.0,9.6,9.4,8.5,9.0,7.1,9.3,Não,2022,,,1
6,A,2005,17,Menina,2019,Rede Decisão,177.0,7.0,7.0,4.0,9.2,9.0,6.9,6.8,8.5,4.3,7.8,Não,2022,,,1
6,A,2005,17,Menina,2019,Rede Decisão,825.0,18.0,18.0,4.0,0.0,5.4,5.0,5.9,2.3,5.3,10.0,Não,2022,,,1
6,A,2005,17,Menina,2017,Rede Decisão,31.0,4.0,4.0,4.0,9.2,8.9,7.5,8.6,9.0,7.0,9.7,Não,2022,,,1
6,A,2006,16,Menina,2017,Rede Decisão,722.0,15.0,15.0,4.0,0.0,4.8,6.9,6.9,7.7,5.1,7.8,Não,2022,,,0
5,A,2006,16,Menina,2016,Rede Decisão,429.0,27.0,3.0,3.0,7.9,7.8,7.5,6.8,4.7,7.3,8.4,Não,2022,,,1
5,A,2005,17,Menino,2018,Escola Pública,777.0,51.0,9.0,3.0,9.2,6.1,5.0,5.6,6.3,2.5,8.0,Não,2022,,,1
5,A,2007,15,Menino,2019,Rede Decisão,582.0,33.0,5.0,3.0,8.3,7.9,5.6,4.8,3.7,4.5,6.2,Não,2022,,,0
5,A,2006,16,Menina,2019,Escola Pública,791.0,54.0,11.0,3.0,6.3,6.5,5.6,4.3,4.0,5.8,3.2,Não,2022,,,1
5,A,2005,17,Menina,2021,Escola Pública,785.0,52.0,10.0,3.0,5.0,5.9,7.5,3.0,2.3,3.5,3.2,Sim,2022,,,1
5,A,2007,15,Menina,2019,Rede Decisão,277.0,17.0,2.0,3.0,7.9,8.9,5.6,6.8,6.3,5.2,8.8,Não,2022,,,0
5,A,2005,17,Menina,2022,Escola Pública,719.0,46.0,7.0,3.0,8.8,8.4,6.3,2.1,2.8,2.8,0.7,Não,2022,,,1
5,A,2005,17,Menina,2022,Escola Pública,762.0,49.0,8.0,3.0,7.9,6.3,7.5,2.1,2.5,2.2,1.5,Não,2022,,,1
5,A,2007,15,Menina,2017,Rede Decisão,140.0,10.0,1.0,3.0,6.7,8.4,7.5,8.1,6.7,8.0,9.5,Não,2022,,,0
5,A,2005,17,Menina,2022,Escola Pública,687.0,42.0,6.0,3.0,7.5,7.4,7.5,3.9,1.5,4.2,6.2,Não,2022,,,1
5,A,2004,18,Menina,2022,Escola Pública,445.0,28.0,4.0,3.0,7.5,8.4,7.5,7.8,6.5,7.3,9.7,Não,2022,,,1
5,B,2005,17,Menina,2022,Escola Pública,645.0,39.0,13.0,3.0,8.8,7.6,7.5,5.0,4.5,4.5,6.0,Não,2022,,,1
5,B,2009,13,Menino,2018,Rede Decisão,183.0,12.0,5.0,3.0,9.6,8.9,7.5,6.2,3.3,6.3,8.8,Não,2022,,,0
5,B,2005,17,Menino,2022,Escola Pública,579.0,32.0,11.0,3.0,9.2,7.0,7.5,7.0,6.0,8.0,,Não,2022,,,1
5,B,2006,16,Menina,2022,Escola Pública,716.0,45.0,14.0,3.0,7.9,6.9,7.5,4.8,3.0,6.5,,Não,2022,,,1
5,B,2006,16,Menina,2017,Escola Pública,634.0,38.0,12.0,3.0,7.1,7.6,5.6,7.5,6.7,7.8,7.9,Não,2022,,,1
5,B,2007,15,Menina,2019,Rede Decisão,46.0,7.0,1.0,3.0,10.0,10.0,7.5,7.0,4.5,6.5,10.0,Não,2022,,,0
5,B,2006,16,Menino,2017,Rede Decisão,388.0,25.0,10.0,3.0,7.1,8.1,5.6,8.4,9.0,7.0,9.3,Não,2022,,,1
5,B,2007,15,Menino,2017,Rede Decisão,103.0,9.0,3.0,3.0,9.6,9.2,6.3,7.2,4.5,8.0,9.0,Não,2022,,,0
5,B,2005,17,Menino,2022,Escola Pública,257.0,15.0,7.0,3.0,9.2,9.3,7.5,7.2,7.0,5.7,8.8,Não,2022,,,1
5,B,2004,18,Menina,2021,Escola Pública,787.0,53.0,16.0,3.0,6.7,6.0,7.5,4.9,5.0,6.2,3.5,Não,2022,,,1
5,B,2007,15,Menino,2021,Escola Pública,298.0,20.0,8.0,3.0,9.2,7.4,7.5,5.8,1.7,6.3,9.3,Sim,2022,,,0
5,B,2005,17,Menino,2022,Escola Pública,173.0,11.0,4.0,3.0,8.8,9.4,7.5,9.3,8.5,10.0,,Sim,2022,,,1
5,B,2006,16,Menino,2018,Rede Decisão,64.0,8.0,2.0,3.0,8.3,9.1,8.8,8.7,8.2,8.2,9.7,Não,2022,,,1
5,B,2006,16,Menino,2019,Escola Pública,372.0,23.0,9.0,3.0,7.1,8.1,8.1,7.5,4.8,8.2,9.4,Sim,2022,,,1
5,B,2005,17,Menina,2022,Escola Pública,232.0,13.0,6.0,3.0,8.3,7.7,7.5,9.3,9.0,9.5,9.5,Sim,2022,,,1
5,B,2005,17,Menina,2022,Escola Pública,768.0,50.0,15.0,3.0,7.5,5.6,7.5,4.5,3.0,6.0,,Não,2022,,,1
5,C,2006,16,Menina,2019,Escola Pública,812.0,56.0,6.0,4.0,5.8,3.0,7.5,3.6,3.0,4.2,3.5,Não,2022,,,1
5,C,2006,16,Menino,2019,Escola Pública,653.0,40.0,2.0,4.0,8.3,6.0,7.5,4.0,4.7,4.8,2.7,Sim,2022,,,1
5,C,2006,16,Menino,2018,Escola Pública,756.0,47.0,3.0,4.0,8.3,6.1,7.5,2.5,4.7,2.6,0.3,Não,2022,,,1
5,C,2006,16,Menina,2017,Escola Pública,757.0,48.0,4.0,4.0,8.8,6.6,5.0,2.9,5.7,2.9,0.2,Não,2022,,,1
5,C,2005,17,Menina,2019,Escola Pública,846.0,58.0,8.0,4.0,7.9,2.0,7.5,1.2,1.3,2.2,0.0,Não,2022,,,1
5,C,2005,17,Menina,2022,Escola Pública,259.0,16.0,1.0,4.0,8.3,7.5,7.5,7.8,7.5,7.8,8.0,Sim,2022,,,1
5,C,2005,17,Menina,2022,Escola Pública,804.0,55.0,5.0,4.0,7.1,3.0,7.5,3.3,4.5,3.0,2.3,Sim,2022,,,1
5,C,2006,16,Menino,2022,Escola Pública,820.0,57.0,7.0,4.0,9.6,3.3,7.5,2.0,6.0,0.0,0.0,Não,2022,,,1
5,F,2006,16,Menina,2022,Escola Pública,855.0,59.0,4.0,4.0,5.4,3.8,6.3,0.0,0.0,0.0,,Não,2022,,,1
5,F,2007,15,Menina,2017,Rede Decisão,3.0,3.0,1.0,4.0,10.0,9.1,8.1,8.7,9.3,8.3,8.4,Não,2022,,,0
5,F,2006,16,Menino,2019,Escola Pública,857.0,60.0,5.0,4.0,7.1,2.7,5.0,0.7,0.3,1.8,0.0,Não,2022,,,1
5,F,2005,17,Menino,2018,Rede Decisão,475.0,29.0,2.0,4.0,8.3,6.6,5.6,7.2,8.7,5.7,7.3,Não,2022,,,1
5,F,2006,16,Menina,2018,Rede Decisão,541.0,31.0,3.0,4.0,5.4,6.3,5.6,8.9,9.5,7.7,9.5,Não,2022,,,1
5,K,2006,16,Menina,2017,Rede Decisão,397.0,26.0,6.0,4.0,9.2,8.3,5.0,7.1,6.5,7.7,7.3,Não,2022,,,1
5,K,2008,14,Menina,2017,Rede Decisão,247.0,14.0,2.0,4.0,9.2,9.2,5.0,6.0,5.5,5.2,7.3,Não,2022,,,0
5,K,2005,17,Menina,2022,Escola Pública,628.0,37.0,9.0,4.0,8.8,6.8,7.5,5.5,6.0,5.0,,Sim,2022,,,1
5,K,2005,17,Menina,2022,Escola Pública,598.0,35.0,8.0,4.0,7.9,6.8,7.5,6.8,6.0,7.5,,Sim,2022,,,1
5,K,2005,17,Menina,2018,Rede Decisão,596.0,34.0,7.0,4.0,7.1,8.8,5.0,5.8,5.7,6.5,5.2,Não,2022,,,1
5,K,2007,15,Menino,2022,Escola Pública,697.0,43.0,10.0,4.0,6.7,7.3,5.0,4.3,5.0,3.5,,Não,2022,,,0
5,K,2006,16,Menino,2016,Rede Decisão,286.0,18.0,3.0,4.0,7.5,9.6,5.6,6.7,6.2,7.2,6.9,Não,2022,,,1
5,K,2007,15,Menino,2021,Rede Decisão,15.0,6.0,1.0,4.0,8.3,9.6,7.5,8.8,8.3,8.0,10.0,Não,2022,,,0
5,K,2005,17,Menino,2021,Escola Pública,312.0,21.0,4.0,4.0,7.1,9.2,5.6,6.5,6.8,6.2,6.4,Sim,2022,,,1
5,K,2006,16,Menino,2021,Escola Pública,383.0,24.0,5.0,4.0,9.6,7.8,7.5,5.9,7.5,5.7,4.7,Sim,2022,,,1
5,L,2009,13,Menina,2019,Rede Decisão,1.0,1.0,1.0,4.0,10.0,9.7,9.4,8.5,7.7,8.0,9.8,Não,2022,,,0
5,L,2006,16,Menina,2016,Rede Decisão,608.0,36.0,8.0,4.0,9.2,5.7,5.6,6.6,5.5,5.7,8.5,Não,2022,,,1
5,L,2006,16,Menina,2016,Rede Decisão,501.0,30.0,7.0,4.0,9.2,7.1,5.0,7.4,7.8,5.5,8.8,Não,2022,,,1
5,L,2007,15,Menina,2016,Rede Decisão,6.0,4.0,3.0,4.0,8.3,9.7,8.1,8.5,8.8,8.3,8.4,Não,2022,,,0
5,L,2007,15,Menina,2018,Rede Decisão,7.0,5.0,4.0,4.0,8.3,9.6,8.1,7.7,7.0,6.7,9.5,Não,2022,,,0
5,L,2005,17,Menina,2022,Escola Pública,685.0,41.0,9.0,4.0,8.3,6.6,7.5,4.8,6.0,8.0,0.5,Não,2022,,,1
5,L,2006,16,Menino,2021,Escola Pública,295.0,19.0,5.0,4.0,9.2,7.8,6.9,6.7,5.7,6.5,8.0,Sim,2022,,,1
5,L,2007,15,Menina,2017,Rede Decisão,328.0,22.0,6.0,4.0,7.5,8.8,5.0,6.9,5.3,6.7,8.8,Não,2022,,,0
5,L,2007,15,Menina,2017,Rede Decisão,2.0,2.0,2.0,4.0,8.8,10.0,9.4,8.5,8.4,8.2,8.9,Não,2022,,,0
5,L,2006,16,Menino,2019,Escola Pública,701.0,44.0,10.0,4.0,8.8,6.3,7.5,5.0,5.7,3.4,5.8,Não,2022,,,1
4,A,2009,13,Menina,2019,Rede Decisão,268.0,22.0,7.0,4.0,8.8,7.8,5.0,7.6,7.0,7.8,8.1,Não,2022,,,0
4,A,2007,15,Menina,2021,Escola Pública,387.0,31.0,8.0,4.0,7.9,8.3,7.5,7.6,7.2,6.5,9.2,Sim,2022,,,1
4,A,2008,14,Menino,2019,Escola Pública,519.0,43.0,9.0,4.0,6.7,7.7,6.9,5.7,4.7,6.8,5.5,Não,2022,,,0
4,A,2009,13,Menina,2020,Rede Decisão,114.0,11.0,4.0,4.0,7.9,8.7,7.5,7.3,7.3,7.3,7.3,Não,2022,,,0
4,A,2004,18,Menino,2022,Escola Pública,681.0,61.0,11.0,4.0,7.9,8.7,7.5,3.7,4.8,5.8,0.3,Não,2022,,,1
4,A,2005,17,Menino,2016,Rede Decisão,542.0,47.0,10.0,4.0,7.9,8.2,5.6,6.7,7.2,6.2,6.8,Não,2022,,,1
4,A,2007,15,Menina,2016,Rede Decisão,148.0,13.0,5.0,4.0,9.2,8.0,9.4,7.4,7.8,7.2,7.2,Não,2022,,,1
4,A,2007,15,Menina,2018,Escola Pública,693.0,63.0,12.0,4.0,7.5,6.4,7.5,4.6,3.3,4.3,6.0,Sim,2022,,,1
4,A,2005,17,Menina,2019,Escola Pública,784.0,72.0,15.0,4.0,4.6,7.7,5.0,5.0,3.0,5.8,6.2,Não,2022,,,1
4,A,2006,16,Menino,2021,Rede Decisão,33.0,4.0,2.0,4.0,8.8,10.0,8.8,8.4,7.8,7.5,9.9,Não,2022,,,1
4,A,2008,14,Menino,2017,Rede Decisão,100.0,10.0,3.0,4.0,9.2,9.7,5.6,6.7,8.3,5.7,6.0,Não,2022,,,0
4,A,2009,13,Menina,2020,Rede Decisão,22.0,2.0,1.0,4.0,7.5,9.4,8.1,8.0,6.7,7.5,9.7,Não,2022,,,0
4,A,2007,15,Menina,2016,Rede Decisão,189.0,17.0,6.0,4.0,7.9,7.8,6.3,8.5,9.0,7.5,9.1,Não,2022,,,1
4,A,2007,15,Menina,2017,Rede Decisão,862.0,76.0,16.0,4.0,0.0,0.0,5.0,3.7,3.3,5.5,2.3,Não,2022,,,1
4,A,2006,16,Menino,2022,Escola Pública,738.0,66.0,13.0,4.0,7.9,6.3,7.5,5.3,6.0,4.5,,Não,2022,,,1
4,A,2006,16,Menina,2019,Escola Pública,740.0,67.0,14.0,4.0,8.3,6.8,6.3,3.8,3.0,5.7,2.7,Não,2022,,,1
4,B,2006,16,Menina,2019,Escola Pública,538.0,46.0,8.0,4.0,5.8,8.1,6.3,5.9,5.0,7.2,5.5,Sim,2022,,,1
4,B,2007,15,Menina,2022,Escola Pública,593.0,55.0,10.0,4.0,7.9,6.3,6.9,6.1,4.7,6.7,7.0,Não,2022,,,1
4,B,2008,14,Menina,2021,Escola Pública,775.0,70.0,12.0,4.0,0.0,5.3,6.3,3.9,3.7,4.7,3.5,Não,2022,,,0
4,B,2008,14,Menina,2016,Rede Decisão,311.0,26.0,3.0,4.0,8.3,8.2,5.6,5.4,5.7,7.0,3.4,Não,2022,,,0
4,B,2007,15,Menino,2019,Escola Pública,547.0,48.0,9.0,4.0,8.3,5.9,7.5,6.2,3.7,5.2,9.7,Sim,2022,,,1
4,B,2006,16,Menina,2021,Escola Pública,413.0,33.0,5.0,4.0,7.1,8.4,6.3,7.2,5.7,6.8,9.0,Sim,2022,,,1
4,B,2008,14,Menina,2019,Escola Pública,818.0,74.0,14.0,4.0,7.9,3.4,7.5,1.8,1.7,3.7,0.0,Não,2022,,,0
4,B,2006,16,Menino,2017,Rede Decisão,461.0,37.0,6.0,4.0,7.9,8.6,5.6,6.5,7.3,6.3,5.9,Não,2022,,,1
4,B,2008,14,Menino,2016,Rede Decisão,365.0,29.0,4.0,4.0,7.9,7.8,5.0,6.7,5.7,7.0,7.5,Não,2022,,,0
4,B,2007,15,Menina,2022,Escola Pública,266.0,21.0,2.0,4.0,8.8,8.5,7.5,7.1,5.0,7.2,9.2,Sim,2022,,,1
4,B,2007,15,Menino,2018,Escola Pública,689.0,62.0,11.0,4.0,7.1,5.8,7.5,4.4,4.0,5.0,4.2,Sim,2022,,,1
4,B,2008,14,Menina,2022,Escola Pública,63.0,7.0,1.0,4.0,7.5,8.7,7.5,7.9,7.7,7.7,8.3,Sim,2022,,,0
4,B,2007,15,Menino,2019,Escola Pública,778.0,71.0,13.0,4.0,0.0,6.2,7.5,5.6,6.7,6.8,3.2,Sim,2022,,,1
4,B,2007,15,Menino,2019,Escola Pública,516.0,42.0,7.0,4.0,6.7,6.4,7.5,6.7,6.0,5.3,8.7,Sim,2022,,,1
4,F,2006,16,Menina,2018,Escola Pública,772.0,69.0,14.0,4.0,8.3,4.7,5.0,4.1,3.7,5.2,3.5,Não,2022,,,1
4,F,2007,15,Menina,2016,Escola Pública,440.0,35.0,7.0,4.0,8.8,9.0,5.6,5.6,6.0,6.5,4.2,Sim,2022,,,1
4,F,2008,14,Menina,2019,Rede Decisão,53.0,5.0,2.0,4.0,10.0,8.8,5.6,7.7,6.5,7.5,9.1,Não,2022,,,0
4,F,2007,15,Menina,2016,Escola Pública,530.0,45.0,10.0,4.0,7.9,7.1,7.5,5.6,4.7,7.2,5.0,Não,2022,,,1
4,F,2007,15,Menina,2021,Escola Pública,623.0,56.0,12.0,4.0,8.8,6.8,7.5,4.7,4.7,6.8,2.5,Sim,2022,,,1
4,F,2007,15,Menina,2019,Escola Pública,237.0,20.0,4.0,4.0,8.3,7.8,5.6,8.6,8.0,8.2,9.5,Sim,2022,,,1
4,F,2007,15,Menino,2019,Escola Pública,646.0,59.0,13.0,4.0,10.0,6.3,7.5,4.6,5.3,5.7,2.8,Não,2022,,,1
4,F,2005,17,Menina,2016,Rede Decisão,468.0,38.0,9.0,4.0,7.5,8.9,5.0,7.3,6.0,7.3,8.5,Não,2022,,,1
4,F,2007,15,Menino,2016,Escola Pública,573.0,53.0,11.0,4.0,9.6,8.0,5.6,5.6,5.0,6.5,5.2,Sim,2022,,,1
4,F,2005,17,Menino,2019,Escola Pública,858.0,75.0,15.0,4.0,7.1,3.5,5.0,1.4,1.7,2.7,0.0,Não,2022,,,1
4,F,2008,14,Menina,2021,Escola Pública,358.0,28.0,6.0,4.0,7.9,7.6,6.9,5.7,5.0,6.5,5.6,Sim,2022,,,0
4,F,2008,14,Menino,2017,Escola Pública,450.0,36.0,8.0,4.0,9.2,8.2,5.6,5.7,5.8,6.2,5.0,Não,2022,,,0
4,F,2008,14,Menina,2021,Escola Pública,332.0,27.0,5.0,4.0,6.7,8.6,5.6,6.3,6.0,6.8,6.0,Não,2022,,,0
4,F,2009,13,Menino,2019,Rede Decisão,24.0,3.0,1.0,4.0,8.3,9.9,5.6,7.9,9.7,7.7,6.4,Não,2022,,,0
4,F,2008,14,Menina,2017,Rede Decisão,89.0,9.0,3.0,4.0,7.5,9.3,5.0,7.9,7.5,7.2,9.0,Não,2022,,,0
4,H,2006,16,Menino,2017,Escola Pública,746.0,68.0,7.0,4.0,0.0,6.3,8.1,5.2,3.0,4.8,7.8,Sim,2022,,,1
4,H,2007,15,Menina,2022,Escola Pública,156.0,15.0,1.0,4.0,8.3,9.2,7.5,7.9,6.3,7.3,10.0,Sim,2022,,,1
4,H,2008,14,Menina,2022,Escola Pública,293.0,24.0,4.0,4.0,8.3,7.7,7.5,6.1,5.8,4.8,7.7,Não,2022,,,0
4,H,2008,14,Menino,2022,Escola Pública,172.0,16.0,2.0,4.0,9.2,7.9,10.0,5.3,4.7,6.3,5.0,Sim,2022,,,0
4,H,2007,15,Menina,2022,Escola Pública,679.0,60.0,6.0,4.0,9.2,6.5,7.5,5.0,4.0,6.0,,Não,2022,,,1
4,H,2006,16,Menina,2020,Escola Pública,498.0,41.0,5.0,4.0,9.6,6.3,6.9,6.9,5.3,6.7,8.6,Sim,2022,,,1
4,H,2006,16,Menina,2020,Escola Pública,289.0,23.0,3.0,4.0,8.8,7.5,6.9,8.3,7.3,8.0,9.5,Sim,2022,,,1
4,L,2006,16,Menina,2022,Escola Pública,586.0,54.0,13.0,4.0,8.3,7.0,7.5,6.5,4.0,7.0,8.5,Não,2022,,,1
4,L,2008,14,Menina,2018,Rede Decisão,297.0,25.0,5.0,4.0,7.9,8.2,5.0,6.6,3.3,7.7,8.8,Não,2022,,,0
4,L,2007,15,Menino,2017,Escola Pública,714.0,65.0,15.0,4.0,8.3,6.1,6.3,4.0,3.7,6.2,2.1,Sim,2022,,,1
4,L,2006,16,Menino,2022,Escola Pública,470.0,39.0,9.0,4.0,10.0,8.3,7.5,5.2,4.3,6.8,4.3,Sim,2022,,,1
4,L,2007,15,Menino,2018,Escola Pública,376.0,30.0,6.0,4.0,10.0,8.3,9.4,4.4,4.7,6.5,2.1,Sim,2022,,,1
4,L,2010,12,Menina,2018,Rede Decisão,59.0,6.0,1.0,4.0,7.5,10.0,6.3,7.7,7.0,7.5,8.7,Não,2022,,,0
4,L,2005,17,Menina,2017,Rede Decisão,392.0,32.0,7.0,4.0,7.9,9.8,5.6,6.6,5.0,6.7,8.1,Não,2022,,,1
4,L,2007,15,Menina,2021,Escola Pública,644.0,58.0,14.0,4.0,8.3,8.1,5.6,4.7,4.3,5.8,3.9,Não,2022,,,1
4,L,2007,15,Menina,2021,Escola Pública,568.0,52.0,12.0,4.0,7.5,7.2,5.6,5.3,2.7,6.0,7.1,Sim,2022,,,1
4,L,2011,11,Menina,2018,Rede Decisão,153.0,14.0,4.0,4.0,7.9,9.1,5.6,6.9,5.3,6.8,8.5,Não,2022,,,0
4,L,2008,14,Menina,2021,Escola Pública,423.0,34.0,8.0,4.0,6.7,8.5,7.5,5.5,4.7,5.5,6.4,Não,2022,,,0
4,L,2007,15,Menina,2021,Escola Pública,556.0,49.0,10.0,4.0,8.8,7.9,5.6,6.7,6.5,6.3,7.4,Não,2022,,,1
4,L,2006,16,Menino,2018,Escola Pública,562.0,50.0,11.0,4.0,8.3,7.3,5.6,6.5,4.7,6.5,8.3,Sim,2022,,,1
4,L,2008,14,Menina,2017,Rede Decisão,128.0,12.0,3.0,4.0,7.1,9.8,5.6,7.6,5.3,7.8,9.7,Não,2022,,,0
4,L,2008,14,Menino,2020,Escola Pública,73.0,8.0,2.0,4.0,9.2,9.0,6.3,8.1,7.0,7.2,10.0,Sim,2022,,,0
4,P,2006,16,Menina,2018,Rede Decisão,200.0,19.0,3.0,4.0,9.2,9.7,5.6,7.9,9.3,8.0,6.3,Não,2022,,,1
4,P,2007,15,Menina,2018,Rede Decisão,522.0,44.0,5.0,4.0,7.9,8.3,6.3,5.9,4.7,8.2,5.0,Não,2022,,,1
4,P,2007,15,Menina,2018,Escola Pública,814.0,73.0,9.0,4.0,7.5,5.1,6.3,3.2,1.3,4.5,3.8,Não,2022,,,1
4,P,2008,14,Menina,2018,Rede Decisão,484.0,40.0,4.0,4.0,8.3,9.2,5.6,4.9,3.7,6.7,4.3,Não,2022,,,0
4,P,2006,16,Menino,2022,Escola Pública,632.0,57.0,7.0,4.0,7.5,6.8,7.5,5.5,3.0,8.0,,Não,2022,,,1
4,P,2008,14,Menina,2018,Rede Decisão,18.0,1.0,1.0,4.0,9.2,8.9,9.4,7.3,6.0,7.7,8.1,Não,2022,,,0
4,P,2005,17,Menino,2019,Rede Decisão,198.0,18.0,2.0,4.0,8.3,9.2,6.9,7.9,9.0,7.5,7.1,Não,2022,,,1
4,P,2007,15,Menina,2019,Escola Pública,713.0,64.0,8.0,4.0,7.9,6.2,7.5,4.4,4.0,5.3,3.8,Não,2022,,,1
4,P,2007,15,Menina,2018,Rede Decisão,567.0,51.0,6.0,4.0,8.3,9.2,5.6,5.9,4.7,7.2,5.9,Não,2022,,,1
3,A,2009,13,Menina,2018,Rede Decisão,44.0,12.0,4.0,4.0,9.6,9.1,5.6,6.9,5.1,6.8,8.7,Não,2022,,,0
3,A,2009,13,Menina,2022,Escola Pública,347.0,40.0,9.0,4.0,7.9,8.8,4.4,6.8,6.0,7.5,,Não,2022,,,0
